ID,Country,Players,LastPage,ScrapeTime
21,Afghanistan,2773,56,1631054865
22,Albania,3607,73,1631054873
23,Algeria,133278,2666,1631054915
24,American Samoa,1026,21,1631054918
25,Andorra,629,13,1631054921
26,Angola,2328,47,1631054927
27,Anguilla,378,8,1631054929
28,Antarctica,1081,22,1631054932
29,Antigua and Barbuda,1065,22,1631054936
30,Argentina,4509,91,1631054947
31,Armenia,1052,22,1631054950
32,Aruba,971,20,1631054953
33,Australia,176492,3530,1631054990
34,Austria,7621,153,1631055005
35,Azerbaijan,2396,48,1631055011
36,Bahamas,464,10,1631055013
37,Bahrain,16704,335,1631055032
38,Bangladesh,42157,844,1631055065
39,Barbados,3888,78,1631055074
40,Belarus,2036,41,1631055080
41,Belgium,21846,437,1631055103
42,Belize,259,6,1631055104
43,Benin,303,7,1631055106
44,Bermuda,2060,42,1631055112
45,Bhutan,5649,113,1631055124
46,Bolivia,611,13,1631055126
47,Bosnia-Herzegovina,17438,349,1631055146
48,Botswana,9021,181,1631055161
49,Bouvet Island,252,6,1631055162
50,Brazil,6813,137,1631055175
51,British Indian Ocean Territory,222,5,1631055176
52,British Virgin Islands,439,9,1631055178
53,Brunei Darussalam,7754,156,1631055192
54,Bulgaria,20542,411,1631055212
55,Burkina Faso,202,5,1631055213
56,Burundi,169,4,1631055214
57,Cambodia,6393,128,1631055227
58,Cameroon,5375,108,1631055239
59,Canada,62444,1249,1631055276
60,Cape Verde,292,6,1631055277
61,Cayman Islands,947,19,1631055281
62,Central African Republic,174,4,1631055281
63,Chad,218,5,1631055283
64,Chile,3639,73,1631055291
65,China,7231,145,1631055303
66,Christmas Island,1055,22,1631055306
67,Cocos Islands,199,4,1631055307
68,Colombia,4971,100,1631055318
69,Comoros,93,2,1631055319
70,"Congo, Democratic Republic of",576,12,1631055320
71,Congo,154,4,1631055321
72,Cook Islands,165,4,1631055322
73,Costa Rica,1202,25,1631055326
74,Ivory Coast,746,15,1631055329
75,Cuba,780,16,1631055331
76,Cyprus,11583,232,1631055348
77,Czech Republic,10240,205,1631055365
78,Denmark,33078,662,1631055388
79,Djibouti,305,7,1631055389
80,Dominica,418,9,1631055391
81,Dominican Republic,438,9,1631055393
82,Ecuador,1315,27,1631055397
83,Egypt,589724,11795,1631055457
84,El Salvador,612,13,1631055460
85,Equatorial Guinea,348,7,1631055461
86,Eritrea,591,12,1631055463
87,Estonia,3839,77,1631055472
88,Ethiopia,15408,309,1631055494
89,Faeroe Islands,2096,42,1631055501
90,Falkland Islands,336,7,1631055503
91,Fiji,1515,31,1631055508
92,Finland,32558,652,1631055538
93,France,14220,285,1631055559
94,French Guiana,83,2,1631055560
95,French Polynesia,127,3,1631055561
96,French Southern Territories,134,3,1631055562
97,Gabon,164,4,1631055563
98,Gambia,1526,31,1631055569
99,Georgia,5339,107,1631055581
100,Germany,20526,411,1631055604
101,Ghana,115115,2303,1631055641
102,Gibraltar,1766,36,1631055647
103,Greece,20371,408,1631055672
104,Greenland,371,8,1631055673
105,Grenada,315,7,1631055675
106,Guadaloupe,160,4,1631055676
107,Guam,200,4,1631055677
108,Guatemala,790,16,1631055680
109,Guinea,177,4,1631055681
110,Guinea-Bissau,100,2,1631055682
111,Guyana,737,15,1631055685
112,Haiti,230,5,1631055686
113,Heard and McDonald Islands,444,9,1631055688
114,Holy See,371,8,1631055690
115,Honduras,635,13,1631055693
116,Hong Kong,31984,640,1631055726
117,Croatia,23539,471,1631055754
118,Hungary,8053,162,1631055771
119,Iceland,17590,352,1631055793
120,India,212660,4254,1631055846
121,Indonesia,164900,3298,1631055916
122,Iran,26187,524,1631055941
123,Iraq,62095,1242,1631055986
124,Ireland,260037,5201,1631056035
125,Israel,11339,227,1631056053
126,Italy,7878,158,1631056069
127,Jamaica,13048,261,1631056090
128,Japan,5472,110,1631056103
129,Jordan,16705,335,1631056126
130,Kazakhstan,4993,100,1631056139
131,Kenya,193261,3866,1631056213
132,Kiribati,279,6,1631056214
133,North Korea,508,11,1631056217
134,South Korea,5503,111,1631056230
135,Kuwait,44368,888,1631056264
